lane	category	operation	algorithm	run	count	mean_ns
3.5.8	kex	derive-first	X25519	7	1500	23654.1
3.5.8	kex	derive-second	X25519	7	600	23567.4
3.5.8	kex	derive-steady	X25519	7	1500	23646.6
3.5.8	kex	keygen	X448	7	1500	144292.4
3.5.8	kex	derive-setup	X448	7	1500	1164.3
3.5.8	kex	derive-first	X448	7	1500	119014.1
3.5.8	kex	derive-second	X448	7	600	119043.7
3.5.8	kex	derive-steady	X448	7	1500	118881.4
3.5.8	kex	keygen	X301	7	1500	29436.3
3.5.8	kex	derive-setup	X301	7	1500	1766.5
3.5.8	kex	derive-first	X301	7	1500	59300.7
3.5.8	kex	derive-second	X301	7	600	59223.6
3.5.8	kex	derive-steady	X301	7	1500	59197.5
3.5.8	kem	kem-keygen	ML-KEM-1024	7	400	38113.5
3.5.8	kem	encaps	ML-KEM-1024	7	500	20011.6
3.5.8	kem	decaps	ML-KEM-1024	7	700	29898.3
3.5.8	kem	kem-keygen	X25519MLKEM768	7	400	49967.4
3.5.8	kem	encaps	X25519MLKEM768	7	500	63932.5
3.5.8	kem	decaps	X25519MLKEM768	7	700	48788.7
3.5.8	kem	kem-keygen	X448MLKEM1024	7	400	183654.2
3.5.8	kem	encaps	X448MLKEM1024	7	500	284533.1
3.5.8	kem	decaps	X448MLKEM1024	7	700	151188.4
3.5.8	kem	kem-keygen	X301MLKEM1024	7	400	67721.5
3.5.8	kem	encaps	X301MLKEM1024	7	500	108037.9
3.5.8	kem	decaps	X301MLKEM1024	7	700	89737.5
3.5.8	signature	keygen	ED25519	7	1000	25277.6
3.5.8	signature	sign	ED25519	7	2500	23799.6
3.5.8	signature	verify	ED25519	7	2500	78670.6
3.5.8	signature	keygen	ED448	7	1000	145635.5
3.5.8	signature	sign	ED448	7	2500	146722.9
3.5.8	signature	verify	ED448	7	2500	154608.2
